current_file_name;file_name;category;dataset
8ba152e6b10348a4a8c21e4d8ec842e6.jpg;1916883.jpg;28.01 Финансовая организация (банк брокер страхование и т.д.);russ2024y
9a35d1dbef9840b39feaa066d88ba8c8.jpg;1916901.jpg;01.01 Прочая реклама,05.02 Иностранные слова;russ2024y
ba7dcd7605ac42db98d5c1522b52c650.jpg;1916902.jpg;01.01 Прочая реклама,05.02 Иностранные слова;russ2024y
e6f22245ae1048c98e292c829b9ef12a.jpg;1919139.jpg;05.07 QR-код / адрес сайта,09.02 Иные акции,24.03 Лекарственные препараты,24.06 МедОрганизация/Аптека;russ2024y
baebf04a69874393837cccb862ee9dd0.jpg;1919140.jpg;09.02 Иные акции,24.03 Лекарственные препараты,24.06 МедОрганизация/Аптека,25.01 БАД;russ2024y
f20d332979a746549d2af7fd4aedd3a3.png;1918618.png;01.01 Прочая реклама;russ2024y
aa8dc00a27404346a71950353345e6d3.png;1918619.png;01.01 Прочая реклама;russ2024y
a27a5baf4c6a464388dd9c2827c9a08a.png;1918620.png;01.01 Прочая реклама;russ2024y
032e149ca8c349668e81fd62dce7be0f.png;1918621.png;01.01 Прочая реклама,05.05 Физическое лицо;russ2024y
bd3584366e6a4bbc96593f837ed9292e.png;1918622.png;01.01 Прочая реклама,05.05 Физическое лицо;russ2024y
24370f1a5e684514b6f1d24f89571340.png;1918623.png;01.01 Прочая реклама,05.05 Физическое лицо;russ2024y
37c02d0cc3f14d74bc4dc15ef51c944a.png;1918624.png;01.01 Прочая реклама,05.05 Физическое лицо;russ2024y
14d4f4527d1d426baa8e6e381767c4e4.png;1918625.png;01.01 Прочая реклама,05.05 Физическое лицо;russ2024y
1b4b87ec102547bebedf9691de56842b.png;1918626.png;01.01 Прочая реклама;russ2024y
495780820f074838a692a75d7ac787bf.png;1918627.png;01.01 Прочая реклама;russ2024y
bfbd14b99e4c4a24aafe908c4bf5cd6f.jpg;1917863.jpg;28.07 Строительство (ДДУ),28.08 Застройщик;russ2024y
71252cd88c014113b44d2d911e1aee55.jpg;1934555.jpg;01.01 Прочая реклама,05.03 Информационная продукция,05.05 Физическое лицо;russ2024y
